ITR,FILE_NAME,FSCORE,PRECISION,RECALL,ACCURACY,SK_THRESHOLD,ALPHA,ORIG_CONTRIB,SEG_THRESHOLD
1,17_test.tif,0.729,0.902,0.612,0.962,60,8.0,0.1,24
2,17_test.tif,0.483,0.978,0.321,0.942,60,9.0,0.7,16
3,17_test.tif,0.592,0.964,0.427,0.95,80,9.0,0.5,24
4,17_test.tif,0.577,0.965,0.411,0.949,80,9.0,0.9,18
5,17_test.tif,0.577,0.965,0.411,0.949,80,9.0,0.9,14
6,17_test.tif,0.579,0.965,0.413,0.949,80,8.5,0.9,24
7,17_test.tif,0.646,0.792,0.545,0.949,80,7.0,0.9,22
8,17_test.tif,0.378,0.245,0.82,0.772,60,6.5,0.9,24
9,17_test.tif,0.359,0.222,0.945,0.716,80,6.0,0.1,24
10,17_test.tif,0.718,0.91,0.593,0.961,60,7.5,0.3,22
11,17_test.tif,0.687,0.932,0.544,0.958,80,6.5,0.5,14
12,17_test.tif,0.643,0.946,0.487,0.954,80,9.0,0.1,16
13,17_test.tif,0.265,0.154,0.942,0.559,80,6.0,0.7,24
14,17_test.tif,0.652,0.946,0.498,0.955,80,8.5,0.3,22
15,17_test.tif,0.591,0.964,0.426,0.95,80,8.0,0.5,16
16,17_test.tif,0.577,0.965,0.411,0.949,80,9.5,0.9,22
17,17_test.tif,0.531,0.904,0.376,0.944,60,6.0,0.9,12
18,17_test.tif,0.483,0.978,0.321,0.942,60,9.5,0.5,16
19,17_test.tif,0.62,0.959,0.458,0.953,80,8.0,0.5,20
20,17_test.tif,0.763,0.797,0.732,0.962,80,6.5,0.1,20
21,17_test.tif,0.577,0.965,0.411,0.949,80,9.5,0.5,16
22,17_test.tif,0.598,0.573,0.624,0.929,80,7.0,0.9,24
23,17_test.tif,0.483,0.978,0.321,0.942,60,9.5,0.7,22
24,17_test.tif,0.483,0.978,0.321,0.942,60,9.5,0.9,20
25,17_test.tif,0.526,0.971,0.361,0.945,60,9.5,0.1,10
26,17_test.tif,0.613,0.96,0.45,0.952,80,8.0,0.7,24
27,17_test.tif,0.486,0.978,0.324,0.942,60,7.5,0.5,10
28,17_test.tif,0.582,0.965,0.417,0.949,80,8.0,0.7,18
29,17_test.tif,0.617,0.952,0.456,0.952,60,6.0,0.5,10
30,17_test.tif,0.483,0.978,0.321,0.942,60,8.0,0.9,16
31,17_test.tif,0.651,0.945,0.497,0.955,80,8.0,0.3,18
32,17_test.tif,0.577,0.965,0.411,0.949,80,7.5,0.9,10
33,17_test.tif,0.621,0.488,0.856,0.912,60,6.0,0.3,20
34,17_test.tif,0.619,0.943,0.461,0.952,60,6.0,0.7,12
35,17_test.tif,0.577,0.965,0.411,0.949,80,8.5,0.9,12
36,17_test.tif,0.577,0.965,0.411,0.949,80,9.0,0.9,10
37,17_test.tif,0.714,0.637,0.812,0.945,80,6.5,0.3,24
38,17_test.tif,0.691,0.867,0.575,0.957,60,7.0,0.7,22
39,17_test.tif,0.483,0.978,0.321,0.942,60,6.5,0.9,10
40,17_test.tif,0.577,0.965,0.411,0.949,80,8.5,0.9,10
41,17_test.tif,0.562,0.966,0.396,0.948,60,7.5,0.7,20
42,17_test.tif,0.655,0.94,0.503,0.955,60,8.0,0.1,14
43,17_test.tif,0.593,0.964,0.428,0.95,80,8.5,0.5,20
44,17_test.tif,0.579,0.965,0.414,0.949,80,9.5,0.3,14
45,17_test.tif,0.675,0.934,0.528,0.957,60,8.0,0.1,16
46,17_test.tif,0.691,0.927,0.551,0.958,80,8.5,0.1,20
47,17_test.tif,0.483,0.978,0.321,0.942,60,7.5,0.9,10
48,17_test.tif,0.483,0.978,0.321,0.942,60,9.5,0.7,18
49,17_test.tif,0.577,0.965,0.411,0.949,80,9.5,0.9,16
50,17_test.tif,0.706,0.869,0.594,0.958,80,6.0,0.7,14
51,17_test.tif,0.577,0.965,0.411,0.949,80,9.5,0.7,20
52,17_test.tif,0.603,0.963,0.439,0.951,80,8.0,0.5,18
53,17_test.tif,0.621,0.956,0.46,0.953,80,8.5,0.3,18
