ITR,FILE_NAME,FSCORE,PRECISION,RECALL,ACCURACY,SK_THRESHOLD,ALPHA,ORIG_CONTRIB,SEG_THRESHOLD
1,17_test.tif,0.584,0.962,0.419,0.95,60,8,0.3,14
2,17_test.tif,0.739,0.883,0.636,0.962,60,7,0.3,16
3,17_test.tif,0.518,0.974,0.353,0.945,60,8,0.7,18
4,17_test.tif,0.55,0.967,0.384,0.947,60,8,0.7,22
5,17_test.tif,0.509,0.974,0.345,0.944,60,8,0.7,12
6,17_test.tif,0.596,0.958,0.433,0.951,60,7,0.3,10
7,17_test.tif,0.574,0.959,0.41,0.949,60,8,0.7,24
8,17_test.tif,0.692,0.92,0.555,0.958,60,8,0.3,20
9,17_test.tif,0.657,0.939,0.505,0.955,60,7,0.3,12
10,17_test.tif,0.624,0.95,0.465,0.953,60,8,0.3,16
11,17_test.tif,0.761,0.761,0.761,0.96,60,7,0.3,22
12,17_test.tif,0.539,0.97,0.373,0.946,60,7,0.7,14
13,17_test.tif,0.548,0.97,0.382,0.947,60,8,0.3,12
14,17_test.tif,0.51,0.974,0.345,0.944,60,7,0.7,10
15,17_test.tif,0.509,0.974,0.345,0.944,60,8,0.7,10
16,17_test.tif,0.719,0.735,0.702,0.954,60,7,0.7,24
17,17_test.tif,0.717,0.817,0.638,0.957,60,7,0.7,22
18,17_test.tif,0.633,0.923,0.481,0.953,60,7,0.7,18
19,17_test.tif,0.512,0.974,0.348,0.944,60,8,0.7,16
20,17_test.tif,0.51,0.974,0.345,0.944,60,8,0.7,14
21,17_test.tif,0.579,0.958,0.415,0.949,60,7,0.7,16
22,17_test.tif,0.717,0.903,0.594,0.96,60,8,0.3,22
23,17_test.tif,0.745,0.701,0.796,0.954,60,7,0.3,24
24,17_test.tif,0.685,0.877,0.562,0.956,60,7,0.7,20
25,17_test.tif,0.758,0.85,0.683,0.963,60,7,0.3,18
26,17_test.tif,0.706,0.913,0.576,0.96,60,7,0.3,14
27,17_test.tif,0.524,0.973,0.358,0.945,60,8,0.3,10
28,17_test.tif,0.736,0.885,0.63,0.962,60,8,0.3,24
29,17_test.tif,0.517,0.974,0.352,0.945,60,7,0.7,12
30,17_test.tif,0.532,0.971,0.366,0.946,60,8,0.7,20
31,17_test.tif,0.764,0.806,0.725,0.962,60,7,0.3,20
32,17_test.tif,0.662,0.939,0.511,0.956,60,8,0.3,18
33,01_test.tif,0.766,0.881,0.678,0.963,60,8,0.3,14
34,01_test.tif,0.801,0.786,0.816,0.964,60,7,0.3,16
35,01_test.tif,0.762,0.881,0.671,0.963,60,8,0.7,18
36,01_test.tif,0.787,0.819,0.757,0.963,60,8,0.7,22
37,01_test.tif,0.665,0.944,0.513,0.954,60,8,0.7,12
38,01_test.tif,0.767,0.88,0.681,0.963,60,7,0.3,10
39,01_test.tif,0.786,0.779,0.793,0.961,60,8,0.7,24
40,01_test.tif,0.797,0.821,0.774,0.965,60,8,0.3,20
41,01_test.tif,0.789,0.849,0.737,0.965,60,7,0.3,12
42,01_test.tif,0.781,0.86,0.716,0.964,60,8,0.3,16
43,01_test.tif,0.766,0.676,0.883,0.952,60,7,0.3,22
44,01_test.tif,0.782,0.842,0.73,0.964,60,7,0.7,14
45,01_test.tif,0.744,0.905,0.632,0.961,60,8,0.3,12
46,01_test.tif,0.704,0.928,0.568,0.957,60,7,0.7,10
47,01_test.tif,0.635,0.949,0.478,0.951,60,8,0.7,10
48,01_test.tif,0.564,0.405,0.93,0.872,60,7,0.7,24
49,01_test.tif,0.665,0.524,0.91,0.918,60,7,0.7,22
50,01_test.tif,0.775,0.716,0.846,0.956,60,7,0.7,18
51,01_test.tif,0.738,0.909,0.621,0.961,60,8,0.7,16
52,01_test.tif,0.703,0.928,0.566,0.957,60,8,0.7,14
53,01_test.tif,0.787,0.781,0.794,0.962,60,7,0.7,16
54,01_test.tif,0.802,0.805,0.799,0.965,60,8,0.3,22
55,01_test.tif,0.747,0.639,0.899,0.946,60,7,0.3,24
56,01_test.tif,0.733,0.626,0.885,0.943,60,7,0.7,20
57,01_test.tif,0.794,0.751,0.841,0.961,60,7,0.3,18
58,01_test.tif,0.798,0.817,0.781,0.965,60,7,0.3,14
59,01_test.tif,0.714,0.925,0.582,0.958,60,8,0.3,10
60,01_test.tif,0.801,0.785,0.817,0.964,60,8,0.3,24
61,01_test.tif,0.755,0.894,0.654,0.962,60,7,0.7,12
62,01_test.tif,0.779,0.851,0.718,0.964,60,8,0.7,20
63,01_test.tif,0.782,0.713,0.867,0.957,60,7,0.3,20
64,01_test.tif,0.791,0.841,0.747,0.965,60,8,0.3,18
65,16_test.tif,0.733,0.953,0.595,0.961,60,8,0.3,14
66,16_test.tif,0.802,0.861,0.751,0.967,60,7,0.3,16
67,16_test.tif,0.677,0.97,0.519,0.955,60,8,0.7,18
68,16_test.tif,0.74,0.942,0.609,0.961,60,8,0.7,22
69,16_test.tif,0.603,0.981,0.435,0.948,60,8,0.7,12
70,16_test.tif,0.737,0.95,0.601,0.961,60,7,0.3,10
71,16_test.tif,0.766,0.92,0.656,0.964,60,8,0.7,24
72,16_test.tif,0.792,0.903,0.705,0.967,60,8,0.3,20
73,16_test.tif,0.772,0.926,0.662,0.965,60,7,0.3,12
74,16_test.tif,0.757,0.938,0.635,0.963,60,8,0.3,16
75,16_test.tif,0.79,0.742,0.846,0.959,60,7,0.3,22
76,16_test.tif,0.722,0.955,0.58,0.96,60,7,0.7,14
77,16_test.tif,0.698,0.967,0.547,0.957,60,8,0.3,12
78,16_test.tif,0.624,0.98,0.458,0.95,60,7,0.7,10
79,16_test.tif,0.594,0.981,0.426,0.947,60,8,0.7,10
80,16_test.tif,0.672,0.54,0.89,0.922,60,7,0.7,24
81,16_test.tif,0.751,0.671,0.852,0.949,60,7,0.7,22
82,16_test.tif,0.795,0.87,0.731,0.966,60,7,0.7,18
83,16_test.tif,0.647,0.976,0.483,0.952,60,8,0.7,16
84,16_test.tif,0.622,0.98,0.456,0.95,60,8,0.7,14
85,16_test.tif,0.768,0.921,0.658,0.964,60,7,0.7,16
